, male: 9, female: 2, ratio: 4.5
*, male: 1, female: 0, ratio: 1
26th, male: 1, female: 0, ratio: 1
A, male: 1, female: 0, ratio: 1
ATP, male: 1, female: 0, ratio: 1
Abbess, male: 0, female: 7, ratio: 0.0
Abbot, male: 35, female: 0, ratio: 1
Abbès, male: 0, female: 1, ratio: 0.0
Abbé, male: 3, female: 0, ratio: 1
Abegg, male: 1, female: 0, ratio: 1
Abel, male: 1, female: 0, ratio: 1
Abolitionist, male: 11, female: 2, ratio: 5.5
Aboriginal, male: 1, female: 0, ratio: 1
Abortionist, male: 0, female: 1, ratio: 0.0
Academic, male: 127, female: 37, ratio: 3.4324324324324325
Academician, male: 7, female: 0, ratio: 1
Acadian, male: 0, female: 1, ratio: 0.0
Accident, male: 0, female: 1, ratio: 0.0
Accordion, male: 1, female: 0, ratio: 1
Accordionist, male: 6, female: 0, ratio: 1
Accountant, male: 20, female: 1, ratio: 20.0
Ace, male: 54, female: 0, ratio: 1
Acharya, male: 2, female: 0, ratio: 1
Acrobat, male: 1, female: 0, ratio: 1
Acting, male: 1, female: 1, ratio: 1.0
Activist, male: 209, female: 149, ratio: 1.4026845637583893
Activists, male: 2, female: 0, ratio: 1
Activities, male: 1, female: 0, ratio: 1
Actor, male: 2279, female: 35, ratio: 65.11428571428571
Actress, male: 0, female: 2490, ratio: 0.0
Actresses, male: 0, female: 1, ratio: 0.0
Acts, male: 0, female: 1, ratio: 0.0
Actuary, male: 1, female: 0, ratio: 1
Adams, male: 1, female: 1, ratio: 1.0
Adivasi, male: 1, female: 0, ratio: 1
Adjunct, male: 1, female: 0, ratio: 1
Administrator, male: 101, female: 16, ratio: 6.3125
Admiral, male: 97, female: 1, ratio: 97.0
Adult, male: 0, female: 2, ratio: 0.0
Adventurer, male: 15, female: 1, ratio: 15.0
Adviser, male: 6, female: 1, ratio: 6.0
Advisor, male: 14, female: 4, ratio: 3.5
Advocate, male: 29, female: 22, ratio: 1.3181818181818181
Aerodynamicist, male: 1, female: 0, ratio: 1
Aeronaut, male: 1, female: 1, ratio: 1.0
Aerosol, male: 1, female: 0, ratio: 1
Aerospace, male: 1, female: 0, ratio: 1
Aesthete, male: 1, female: 0, ratio: 1
Affichiste, male: 1, female: 0, ratio: 1
Africa, male: 1, female: 1, ratio: 1.0
African, male: 0, female: 1, ratio: 0.0
Africanist, male: 2, female: 0, ratio: 1
Afrikaans, male: 0, female: 1, ratio: 0.0
Agaev, male: 1, female: 0, ratio: 1
Age, male: 4, female: 2, ratio: 2.0
Agent, male: 43, female: 6, ratio: 7.166666666666667
Aghdam, male: 1, female: 0, ratio: 1
Agnew, male: 1, female: 0, ratio: 1
Agong, male: 1, female: 0, ratio: 1
Agriculturalist, male: 1, female: 0, ratio: 1
Agriculturist, male: 3, female: 0, ratio: 1
Agronomist, male: 17, female: 0, ratio: 1
Ahmad, male: 1, female: 0, ratio: 1
Aide, male: 1, female: 1, ratio: 1.0
Aikidoka, male: 1, female: 0, ratio: 1
Air, male: 3, female: 0, ratio: 1
Aircraft, male: 1, female: 0, ratio: 1
Airey, male: 0, female: 1, ratio: 0.0
Airman, male: 1, female: 0, ratio: 1
Airshow, male: 1, female: 0, ratio: 1
Ajaw, male: 3, female: 0, ratio: 1
Akhenaten, male: 1, female: 0, ratio: 1
Akim, male: 1, female: 0, ratio: 1
Akron, male: 1, female: 0, ratio: 1
Albanian, male: 2, female: 0, ratio: 1
Alber, male: 1, female: 0, ratio: 1
Albert, male: 1, female: 0, ratio: 1
Album, male: 2, female: 0, ratio: 1
Alcalde, male: 2, female: 0, ratio: 1
Alchemist, male: 3, female: 0, ratio: 1
Alderman, male: 5, female: 4, ratio: 1.25
Alexander, male: 2, female: 0, ratio: 1
Algerian, male: 2, female: 0, ratio: 1
Alias, male: 4, female: 1, ratio: 4.0
Aliases, male: 1, female: 0, ratio: 1
Alienist, male: 1, female: 0, ratio: 1
Alim, male: 3, female: 0, ratio: 1
Allamah, male: 1, female: 0, ratio: 1
Allegra, male: 1, female: 0, ratio: 1
Allen, male: 0, female: 1, ratio: 0.0
Ally, male: 1, female: 0, ratio: 1
Almami, male: 1, female: 0, ratio: 1
Almoner, male: 1, female: 0, ratio: 1
Alpine, male: 2, female: 0, ratio: 1
Alpinist, male: 1, female: 0, ratio: 1
Alternative, male: 0, female: 1, ratio: 0.0
Alto, male: 1, female: 1, ratio: 1.0
Altuna, male: 1, female: 0, ratio: 1
Alumnus, male: 4, female: 0, ratio: 1
Alva, male: 1, female: 0, ratio: 1
Alvarado, male: 1, female: 0, ratio: 1
Amatus, male: 1, female: 0, ratio: 1
Amaya, male: 1, female: 0, ratio: 1
Ambassador, male: 32, female: 7, ratio: 4.571428571428571
Ambrose, male: 1, female: 0, ratio: 1
Ambroży, male: 1, female: 0, ratio: 1
America, male: 2, female: 5, ratio: 0.4
American, male: 205, female: 56, ratio: 3.6607142857142856
American Born, male: 2, female: 4, ratio: 0.5
Amir, male: 5, female: 0, ratio: 1
Amoroso, male: 1, female: 0, ratio: 1
Anabaptist, male: 2, female: 0, ratio: 1
Anaesthetist, male: 2, female: 0, ratio: 1
Analyst, male: 19, female: 4, ratio: 4.75
Anarchist, male: 16, female: 3, ratio: 5.333333333333333
Anarcho-syndicalist, male: 1, female: 0, ratio: 1
Anatomist, male: 22, female: 0, ratio: 1
Ancestor, male: 5, female: 0, ratio: 1
Ancestors, male: 1, female: 0, ratio: 1
Anchor, male: 22, female: 21, ratio: 1.0476190476190477
Anchorite, male: 1, female: 0, ratio: 1
Anchorman, male: 1, female: 0, ratio: 1
Anchorwoman, male: 0, female: 2, ratio: 0.0
Andonov, male: 1, female: 0, ratio: 1
Andorran, male: 1, female: 0, ratio: 1
Andriessen, male: 1, female: 0, ratio: 1
André, male: 1, female: 0, ratio: 1
Anesthesiologist, male: 2, female: 0, ratio: 1
Angeles, male: 6, female: 2, ratio: 3.0
Angermann, male: 1, female: 0, ratio: 1
Angler, male: 1, female: 0, ratio: 1
Anglia, male: 0, female: 1, ratio: 0.0
Anglican, male: 1, female: 0, ratio: 1
Anglo-, male: 2, female: 0, ratio: 1
Angulo, male: 1, female: 0, ratio: 1
Animator, male: 35, female: 7, ratio: 5.0
Anime, male: 1, female: 0, ratio: 1
Ann, male: 0, female: 1, ratio: 0.0
Anna, male: 0, female: 1, ratio: 0.0
Annie, male: 0, female: 1, ratio: 0.0
Announcer, male: 27, female: 1, ratio: 27.0
Antalya, male: 1, female: 0, ratio: 1
Anthologist, male: 1, female: 0, ratio: 1
Anthology, male: 1, female: 0, ratio: 1
Anthon, male: 1, female: 0, ratio: 1
Anthropologist, male: 50, female: 32, ratio: 1.5625
Anthropologists, male: 1, female: 0, ratio: 1
Antigua, male: 4, female: 0, ratio: 1
Antiguan, male: 1, female: 0, ratio: 1
Antiquarian, male: 11, female: 1, ratio: 11.0
Apiarist, male: 1, female: 0, ratio: 1
Apologist, male: 3, female: 0, ratio: 1
Apostles, male: 2, female: 0, ratio: 1
Apostolic, male: 2, female: 0, ratio: 1
Apparent, male: 1, female: 0, ratio: 1
Appeals, male: 0, female: 1, ratio: 0.0
Application, male: 1, female: 0, ratio: 1
Apprentice, male: 1, female: 0, ratio: 1
April, male: 4, female: 0, ratio: 1
Arab, male: 1, female: 0, ratio: 1
Arabia, male: 0, female: 1, ratio: 0.0
Arabian, male: 1, female: 0, ratio: 1
Arabist, male: 1, female: 0, ratio: 1
Arachnologist, male: 1, female: 0, ratio: 1
Aragon, male: 1, female: 0, ratio: 1
Arahants, male: 1, female: 0, ratio: 1
Archaeologist, male: 85, female: 23, ratio: 3.6956521739130435
Archbishop, male: 102, female: 0, ratio: 1
Archdeacon, male: 34, female: 0, ratio: 1
Archeologist, male: 3, female: 1, ratio: 3.0
Archeparchy, male: 1, female: 0, ratio: 1
Archer, male: 34, female: 38, ratio: 0.8947368421052632
Archimandrite, male: 1, female: 0, ratio: 1
Architect, male: 508, female: 64, ratio: 7.9375
Architects, male: 0, female: 1, ratio: 0.0
Archivist, male: 7, female: 0, ratio: 1
Archlute, male: 1, female: 0, ratio: 1
Archon, male: 3, female: 0, ratio: 1
Archpriest, male: 2, female: 0, ratio: 1
Archæologist, male: 0, female: 1, ratio: 0.0
Ardizzon, male: 1, female: 0, ratio: 1
Area, male: 0, female: 1, ratio: 0.0
Arena, male: 1, female: 0, ratio: 1
Aristocrat, male: 48, female: 9, ratio: 5.333333333333333
Arman, male: 1, female: 0, ratio: 1
Armes, male: 1, female: 0, ratio: 1
Armorer, male: 1, female: 0, ratio: 1
