[Abbess, male: 0, female: 7, ratio: 0.0
, Abbès, male: 0, female: 1, ratio: 0.0
, Abortionist, male: 0, female: 1, ratio: 0.0
, Acadian, male: 0, female: 1, ratio: 0.0
, Accident, male: 0, female: 1, ratio: 0.0
, Actress, male: 0, female: 2490, ratio: 0.0
, Actresses, male: 0, female: 1, ratio: 0.0
, Acts, male: 0, female: 1, ratio: 0.0
, Adult, male: 0, female: 2, ratio: 0.0
, African, male: 0, female: 1, ratio: 0.0
, Afrikaans, male: 0, female: 1, ratio: 0.0
, Airey, male: 0, female: 1, ratio: 0.0
, Allen, male: 0, female: 1, ratio: 0.0
, Alternative, male: 0, female: 1, ratio: 0.0
, Anchorwoman, male: 0, female: 2, ratio: 0.0
, Anglia, male: 0, female: 1, ratio: 0.0
, Ann, male: 0, female: 1, ratio: 0.0
, Anna, male: 0, female: 1, ratio: 0.0
, Annie, male: 0, female: 1, ratio: 0.0
, Appeals, male: 0, female: 1, ratio: 0.0
, Arabia, male: 0, female: 1, ratio: 0.0
, Architects, male: 0, female: 1, ratio: 0.0
, Archæologist, male: 0, female: 1, ratio: 0.0
, Area, male: 0, female: 1, ratio: 0.0
, Arnold, male: 0, female: 1, ratio: 0.0
, Astrogeologist, male: 0, female: 1, ratio: 0.0
, Attendant, male: 0, female: 3, ratio: 0.0
, Auckland, male: 0, female: 1, ratio: 0.0
, Augusta, male: 0, female: 2, ratio: 0.0
, Aunt, male: 0, female: 2, ratio: 0.0
, Austin, male: 0, female: 1, ratio: 0.0
, Aviatrix, male: 0, female: 1, ratio: 0.0
, Azeri, male: 0, female: 1, ratio: 0.0
, BOLM, male: 0, female: 1, ratio: 0.0
, Babbington, male: 0, female: 1, ratio: 0.0
, Bachelor, male: 0, female: 1, ratio: 0.0
, Badminton, male: 0, female: 2, ratio: 0.0
, Ballerina, male: 0, female: 20, ratio: 0.0
, Ballerinas, male: 0, female: 1, ratio: 0.0
, Bank, male: 0, female: 1, ratio: 0.0
, Bannan, male: 0, female: 1, ratio: 0.0
, Baqir, male: 0, female: 1, ratio: 0.0
, Barbara, male: 0, female: 1, ratio: 0.0
, Baroness, male: 0, female: 1, ratio: 0.0
, Barrett, male: 0, female: 1, ratio: 0.0
, Barretto, male: 0, female: 1, ratio: 0.0
, Bauer, male: 0, female: 1, ratio: 0.0
, Beata, male: 0, female: 1, ratio: 0.0
, Beauty, male: 0, female: 3, ratio: 0.0
, Beck, male: 0, female: 1, ratio: 0.0
, Becker, male: 0, female: 1, ratio: 0.0
, Believer, male: 0, female: 1, ratio: 0.0
, Benenson, male: 0, female: 1, ratio: 0.0
, Bike, male: 0, female: 2, ratio: 0.0
, Biotechnologist, male: 0, female: 1, ratio: 0.0
, Birkenhead, male: 0, female: 1, ratio: 0.0
, Blake, male: 0, female: 1, ratio: 0.0
, Blatherwick, male: 0, female: 1, ratio: 0.0
, Bloomington, male: 0, female: 1, ratio: 0.0
