r1,s1,r2,s2,r3,s3,r4,s4,r5,s5,r6,s6,r7,s7,r8,s8,r9,s9,r10,s10
(Shashank Manohar; hypernym; Lawyer),"[42]Shashank Manohar comes from a ""formidable & well-known"" family of Lawyers.","(Gale W. McGee; birthDate; March 17, 1915)","Gale William McGee (March 17, 1915 – April 9, 1992) was a United States Senator of the Democratic Party, and United States Ambassador to the Organization of American States (OAS).","(Marilyn Trenholme Counsell; birthDate; October 22, 1933)","Marilyn Trenholme Counsell, MD, ONB, OC, (born October 22, 1933) is a Canadian lecturer, doctor and politician.",(Alexis Denisof; spouse; Alyson Hannigan),"He also had a recurring role on How I Met Your Mother on which his wife, Alyson Hannigan, starred.Denisof was born in Salisbury, Maryland,[1] the son of Dr. Christiana Taylor and Gerald Denisof.","(Elizabeth Taylor; spouse; Conrad Hilton, Jr.)","[13]Taylor was 18 when she married Conrad ""Nicky"" Hilton Jr., heir to the Hilton Hotels chain, at the Church of the Good Shepherd in Beverly Hills on May 6, 1950.","(Shirley McKague; birthPlace; Nampa, Idaho)","She previously served as an Idaho State Representative for Districts 14B and 20B from 1997 until her appointment to fill the vacancy caused by the resignation of Senator Gerry Sweet.McKague was born in Nampa, Idaho in 1935 and raised in Meridian.","(Patti LuPone; birthDate; April 21, 1949)","[3][4][5]LuPone was born on April 21, 1949, in Northport, New York, on Long Island, the daughter of Angela Louise (née Patti), a library administrator at the C.W.","(Shashank Manohar; birthDate; September 29, 1957)",Shashank Vyankatesh Manohar (/ʃəˈʃɑːŋk məˈnoʊhər/; Marathi: शशांक व्यंकटेश मनोहर; born 29 September 1957)[2] is a prominent[3] Indian lawyer and cricket administrator.,(Gale W. McGee; hypernym; Senator),"In a video of the President's tour (at the 4 minute, 50 second mark), Senator McGee can be seen disembarking with President Kennedy upon arrival in Laramie.","(S. D. Shibulal; birthDate; March 1, 1955)","S. D. Shibulal (born 1 March 1955, in Alappuzha, India), better known as Shibulal, is an Indian business executive."
(Shashank Manohar; birthPlace; Maharashtra),"A legal luminary of his time, Advocate VR Manohar (Natively known as ""The"" मनोहर वकील) was the Advocate General of Maharashtra during the Chief ministership of Sharad Pawar & also served as the President of Vidarbha Cricket Association in the past.",(S. D. Shibulal; spouse; Kumari Shibulal),"Shibulal, along with wife Kumari, daughter Shruti and son Shreyas, holds nearly 2.2% of Infosys shares, which has a market capitalisation of around $30 billion.",(Gale W. McGee; hypernym; Senator),"The town of Lovell, never known to support a Democrat, gave Senator McGee 123 more votes than it gave President Johnson, 145 more than it gave McGee's opponent, John Wold.",(Gale W. McGee; hypernym; Senator),"Senator McGee, as is protocol for a United States Senator, escorted the President in his travels throughout Wyoming.",(Gale W. McGee; hypernym; Senator),"Thanks to the persistent efforts of Senator McGee and his allies, the Senate could finally prove Vice President Garner wrong.","(Princess Milica of Montenegro; birthDate; July 14, 1866)","Princess Milica Petrović-Njegoš of Montenegro, also known as Grand Duchess Militza Nikolaevna of Russia, (14 July 1866 in Cetinje, Montenegro – 5 September 1951 in Alexandria, Egypt) was a Montenegrin princess.","(James B. Donovan; birthDate; February 29, 1916)","James Britt Donovan (February 29, 1916 – January 19, 1970)[1][2] was an American lawyer, United States Navy officer in the Office of Scientific Research and Development and the Office of Strategic Services (OSS, predecessor of the Central Intelligence Agency), ultimately becoming general counsel of the OSS, and an international diplomatic negotiator.","(Christine Belford; birthDate; January 14, 1949)","Christine Belford (born January 14, 1949) is an American television and film actress.",(Dana Rosemary Scallon; hypernym; Singer),"At the end of the year Scallon collected two awards – Best Female Singer in Britain from the NME, and Best Female Singer from the TV Times.",(James B. Donovan; hypernym; Lawyer),"[21][23] In 1967, Donovan published his second book, Challenges: Reflections of a Lawyer-at-Large.James Gregory played Donovan in the 1976 TV movie Francis Gary Powers: The True Story of the U-2 Spy Incident, based on Powers' biography (written with Curt Gentry)."
"(Elizabeth Taylor; spouse; Conrad Hilton, Jr.)","[19] It was released in May, and the same month, Taylor married hotel-chain heir Conrad Hilton Jr. in a highly publicized ceremony.","(Alexis Denisof; birthPlace; Salisbury, Maryland)","He also had a recurring role on How I Met Your Mother on which his wife, Alyson Hannigan, starred.Denisof was born in Salisbury, Maryland,[1] the son of Dr. Christiana Taylor and Gerald Denisof.",(Johnathon Schaech; hypernym; Actor),"[5]Schaech appeared in How to Make an American Quilt,[5] which received a nomination for the Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture.",(Shirley McKague; hypernym; Senator),"[6]McKague was appointed to the vacant Senate seat for District 20 caused by the resignation of Senator Gerry Sweet, took office early in 2007.In February 2012, McKague announced her retirement and endorsed fellow Republican Senator Chuck Winder;[11][12] redistricting had placed them both in the newly redrawn Senate District 20.",(Christine Belford; spouse; Nicholas Pryor),[citation needed]Belford has been married to actor Nicholas Pryor since July 1993.,(Gale W. McGee; hypernym; Senator),"I recognized him as our old friend Senator Gale McGee.By nature of their service together in the Senate, Senator McGee continued to enjoy a good relationship with President Kennedy while in the White House.",(Gale W. McGee; hypernym; Senator),asked Senator Gale McGee in 1965.,(Amanda Peet; spouse; David Benioff),"[52]Peet married screenwriter David Benioff on September 30, 2006, in New York City.",(Elizabeth Taylor; hypernym; Actress),"Although she disliked her role as a call girl in BUtterfield 8 (1960), her last film for MGM, she won the Academy Award for Best Actress for her performance.Taylor was paid a then-record-breaking $1 million to play the title role in the historical epic Cleopatra (1963), the most expensive film made up to that point.",(Amanda Peet; birthPlace; New York),"[3]At age seven, Peet relocated with her family to London, returning to New York four years later."
(Gale W. McGee; hypernym; Senator),"[25][26]In 1965, Senator McGee began calling for a mandated August recess for Congress.",(Gale W. McGee; hypernym; Senator),"Senator Anderson found an ally in McGee on the Senate Commerce Committee, which had jurisdiction over Mr. Strauss' confirmation.",(James B. Donovan; birthPlace; United States),"James Britt Donovan (February 29, 1916 – January 19, 1970)[1][2] was an American lawyer, United States Navy officer in the Office of Scientific Research and Development and the Office of Strategic Services (OSS, predecessor of the Central Intelligence Agency), ultimately becoming general counsel of the OSS, and an international diplomatic negotiator.","(James B. Donovan; birthDate; February 29, 1916)","[4][5] Donovan was portrayed by Tom Hanks in the 2015 feature film Bridge of Spies.James Britt Donovan was born on February 29, 1916, in the Bronx.",(Princess Milica of Montenegro; birthPlace; Cetinje),"Princess Milica Petrović-Njegoš of Montenegro, also known as Grand Duchess Militza Nikolaevna of Russia, (14 July 1866 in Cetinje, Montenegro – 5 September 1951 in Alexandria, Egypt) was a Montenegrin princess.","(Johnathon Schaech; birthPlace; Edgewood, Maryland)","Johnathon Schaech (/ʃɛk/ SHEK; born September 10, 1969) is an American actor, writer and producer.Schaech was born in Edgewood, Maryland, in 1969 to Joe, a Baltimore City law enforcement officer, and Joanne Schaech, a human resources executive.",(Gale W. McGee; hypernym; Senator),"On March 6, 1965, CBS News aired an hour-long TV special titled ""Vietnam: Hawks and the Doves"" that featured a debate between McGee and Senator George McGovern for the full hour.",(Johnathon Schaech; hypernym; Actor),"[9] Taking the role of a British military man, Schaech was in the independent feature Woundings in 1998,[10] for which he won Best Supporting Actor at the 2001 New York International Independent Film & Video Festival.",(Amanda Peet; hypernym; Actress),"For her role, Peet received a Satellite Award nomination for Best Actress – Television Series Drama.Peet starred as an attorney who stays home to raise a new baby in the romantic comedy The Ex (2007), which went unnoticed by critics and audiences.",(Alexis Denisof; spouse; Alyson Hannigan),"[7]Denisof married past co-star Alyson Hannigan, who played Willow Rosenberg in Buffy the Vampire Slayer, on October 11, 2003."
(Shashank Manohar; spouse; Varsha Manohar),[52] Shashank Manohar married Varsha Oka in 1979.,"(Elizabeth Taylor; birthDate; February 27, 1932)","After many years of ill health, Taylor died from congestive heart failure in 2011, at the age of 79.Elizabeth Rosemond Taylor was born on February 27, 1932, at Heathwood, her family's home on 8 Wildwood Road in Hampstead Garden Suburb, London.","(Amanda Peet; birthDate; January 11, 1972)","Amanda Peet (born January 11, 1972) is an American actress.",(Shirley McKague; hypernym; Senator),"She previously served as an Idaho State Representative for Districts 14B and 20B from 1997 until her appointment to fill the vacancy caused by the resignation of Senator Gerry Sweet.McKague was born in Nampa, Idaho in 1935 and raised in Meridian.",(Shashank Manohar; birthPlace; Maharashtra),[50] Shashank's younger brother Sunil Manohar has also served as the Advocate General of Maharashtra.,(Shirley McKague; hypernym; Senator),"Shirley J. McKague (born June 12, 1935) was a Republican Idaho State Senator, representing the 20th District from 2007 to 2012.",(Alexis Denisof; hypernym; Actor),"[13] As of 2018, Denisof stars in I Love Bekka and Lucy as Glenn, and was nominated for a Primetime Emmy Award for Outstanding Actor in a Short Form Comedy or Drama Series, his first such nomination.","(Christine Belford; birthPlace; Amityville, New York)","She has sometimes been credited as Christina Belford.Christine Riley was born in Amityville, Long Island, New York to Joseph J. Riley and Mary Belford Riley (née Wilson; later Malone), [1] [2] who later divorced.",(Gale W. McGee; hypernym; Senator),Johnson strongly considered appointing Senator McGee to be Ambassador to the UN after the resignation of Arthur Goldberg.,(James B. Donovan; birthPlace; United States),"He appealed Abel's case to the Supreme Court, which in Abel v. United States rejected by a 5–4 vote Donovan's argument that evidence used against his client had been seized by the FBI in violation of the Fourth Amendment."
"(Patti LuPone; birthDate; April 21, 1949)","Patti Ann LuPone (born April 21, 1949) is an American actress and singer, best known for her work in stage musicals.","(Gale W. McGee; birthPlace; Lincoln, Nebraska)","Since his exit from the Senate, no other Democrat has represented Wyoming in the Senate.McGee was born in Lincoln, Nebraska, on March 17, 1915.",(Gale W. McGee; hypernym; Senator),"In 1955–56 he took a leave of absence from the university to work as top aide to Wyoming Democratic Senator Joseph C. O'Mahoney.In 1958 McGee left the university to make his bid for the U.S. Senate, challenging incumbent Frank A. Barrett.","(Elizabeth Taylor; birthDate; February 27, 1932)","Dame Elizabeth Rosemond Taylor DBE (February 27, 1932 – March 23, 2011) was a British-American actress, businesswoman, and humanitarian.",(Dana Rosemary Scallon; spouse; Damien Scallon),"The result was The Rosary, an album released with Heart Beat Records in 1991 that has amassed over a million sales around the world.By August 1991 the Scallons were living in Mountain Brook, close to EWTN's headquarters where Damien now worked.","(Shirley McKague; birthDate; June 12, 1935)","Shirley J. McKague (born June 12, 1935) was a Republican Idaho State Senator, representing the 20th District from 2007 to 2012.",(Patti LuPone; hypernym; Actress),"[27] For her work in both The Cradle Will Rock and Les Misérables, LuPone received the 1985 Olivier Award for Best Actress in a Musical.",(Shashank Manohar; birthPlace; Maharashtra),"VR Manohar a leading Supreme Court lawyer, not only served as the Advocate General during Pawar's stint as Maharashtra chief minister, he has also appeared for the NCP leader in his personal court cases in the 1990s.",(Patti LuPone; birthPlace; United States),"[25] The production premiered at The Acting Company's summer residence at Chautauqua Institution, toured the United States including an engagement at the Highland Park, Illinois' Ravinia Festival in 1984 and played in London's West End.When the run ended, LuPone remained in London to create the role of Fantine in Cameron Mackintosh’s original London production of Les Misérables, in 1985, which premiered at the Barbican Theatre, at that time the London home of the Royal Shakespeare Company.",(Shirley McKague; spouse; Paul McKague),"[2] McKague and her husband Paul have six children.Before entering politics, McKague was a:[2]McKague previously worked as:[2]McKague is member of:[2]McKague was first elected in District 14B in 1996 with 13,717 votes (67.3%) against Democrat Glida Bothwell."
(Elizabeth Taylor; birthPlace; Hampstead Garden Suburb),"After many years of ill health, Taylor died from congestive heart failure in 2011, at the age of 79.Elizabeth Rosemond Taylor was born on February 27, 1932, at Heathwood, her family's home on 8 Wildwood Road in Hampstead Garden Suburb, London.",(Princess Milica of Montenegro; spouse; Grand Duke Peter Nikolaevich of Russia),"Princess Milica Petrović-Njegoš of Montenegro, also known as Grand Duchess Militza Nikolaevna of Russia, (14 July 1866 in Cetinje, Montenegro – 5 September 1951 in Alexandria, Egypt) was a Montenegrin princess.",(S. D. Shibulal; hypernym; Executive),"The 12-13 years after that constituted Infosys 2.0, developing the ability to supply services that allowed clients to become much more efficient and productive.”[10] As the Chief Executive Officer, Shibulal is focused on strengthening strategic partnerships with clients, increasing client relevance and evolving the company’s business model towards achieving Infosys’ aspirations of becoming the next generation global consulting and IT services corporation.","(Marilyn Trenholme Counsell; birthPlace; Baie Verte, New Brunswick)","Counsell was a Canadian Senator and Lieutenant Governor of New Brunswick from 1997 to 2003.She was born in Baie Verte, New Brunswick, the daughter of Harry Frederick and Mildred (née Baxter) Trenholme.",(Amanda Peet; spouse; David Benioff),"[58] To avoid any confusion, Peet's three children use the last name of Friedman,[57] which is husband David Benioff's given last name—he uses his mother's maiden name as his professional name.","(Alexis Denisof; birthDate; February 25, 1966)","Alexis Denisof (born February 25, 1966) is an American actor who is primarily known for playing Wesley Wyndam-Pryce in the television series Buffy the Vampire Slayer and its spin-off Angel.",(Gale W. McGee; hypernym; Senator),"Senate Majority Leader Lyndon Johnson, Senator John F. Kennedy, Senator Wayne Morse of Oregon, Senator-elect Edmund Muskie of Maine, Congressman Joseph M. Montoya of New Mexico, and former President Harry S. Truman came to the state to support McGee, whose campaign slogan was ""McGee for Me!"".",(Gale W. McGee; hypernym; Senator),"[16]McGee took advantage and concentrated on discrediting the state Republican Party and promoted McGee's specific contributions to particular areas of the state, especially given his position on the Senate Appropriations Committee.Counties thought to be steadfastly Republican, such as Big Horn County, wound up supporting both the re-election of President Johnson and Senator McGee.",(Marilyn Trenholme Counsell; spouse; Kenneth Walter Counsell),"She married Kenneth Walter Counsell in 1972; they had two children, Giles Baxter Counsell and Lorna Joy Counsell.",(Elizabeth Taylor; hypernym; Actress),[36] Taylor won her first Academy Award for Best Actress for her performance.
(Elizabeth Taylor; hypernym; Actress),[34] Taylor received her third Academy Award nomination[30] and her first Golden Globe for Best Actress for her performance.,"(Gale W. McGee; birthDate; March 17, 1915)","Since his exit from the Senate, no other Democrat has represented Wyoming in the Senate.McGee was born in Lincoln, Nebraska, on March 17, 1915.",(S. D. Shibulal; birthPlace; India),"[7]Shibulal started his career in 1979, as a software engineer, with one of India's first software company and systems integrator, Patni Computer Systems.His Infosys journey began in 1981, when ""Infosys Consultants Pvt Ltd.""[8] was co-founded on 2 July 1981 by - N. R. Narayana Murthy, Nandan Nilekani, N. S. Raghavan, S. Gopalakrishnan, K. Dinesh, Ashok Arora, and Shibulal - after they resigned from Patni.",(Princess Milica of Montenegro; spouse; Grand Duke Peter Nikolaevich of Russia),"They helped to introduce to the Imperial Family first a charlatan mystic named Philippe Nizier-Vashod (usually referred to merely as ""Philippe"") and then Grigori Rasputin[2] .Grand Duke Peter Nikolaevich of Russia and Princess Milica were married on 26 July 1889 in Saint Petersburg.",(Dana Rosemary Scallon; birthPlace; Islington),"Scallon was again an independent candidate in the Irish 2011 presidential election, but was eliminated on the first count.Scallon was born in Frederica Street, Islington, North London, to Robert and Sheila Brown (née Sheerin).",(Amanda Peet; birthPlace; New York),"Her featured role in the comedy The Whole Nine Yards (2000) brought her a much wider recognition,[1] and she has since appeared in a variety of films, including Something's Gotta Give (2003), Identity (2003), Syriana (2005), The X-Files: I Want to Believe (2008), 2012 (2009), and The Way, Way Back (2013).On television, Peet has starred in Jack & Jill (1999–2001), Togetherness (2015–2016), and Brockmire (2016–present).Peet was born in New York City, the daughter of Penny (née Levy), a social worker, and Charles Peet Jr., a corporate lawyer,[2][3] who later divorced.",(S. D. Shibulal; birthPlace; India),"S. D. Shibulal (born 1 March 1955, in Alappuzha, India), better known as Shibulal, is an Indian business executive.",(Amanda Peet; birthPlace; New York),"[52]Peet married screenwriter David Benioff on September 30, 2006, in New York City.",(Dana Rosemary Scallon; spouse; Damien Scallon),"[34]On 5 October 1978, she married hotelier Damien Scallon at St Eugene's Cathedral in Derry, where her parents were married.",(Gale W. McGee; hypernym; Senator),"Senator McGee died on April 9, 1992, in Washington, D.C.[30] He is buried in Oak Hill Cemetery.In January 2007, the Wyoming congressional delegation introduced federal legislation (H.R."
(Christine Belford; hypernym; Television),"[7] [4]She appeared in guest roles on many popular television shows of the 1970s, 1980s, and 1990s, including Ironside, Banacek, Mannix, Barnaby Jones, Owen Marshall, Counselor at Law, The Six Million Dollar Man, CHiPs, Wonder Woman, Magnum, P.I., Hart to Hart, The Incredible Hulk, Family Ties, The Golden Girls, Blossom, Beverly Hills, 90210, Battlestar Galactica (specifically as one of the prison-barge inmates recruited to destroy ""The Gun On Ice Planet Zero""), The Paper Chase: The Television Series, My Two Dads, Night Court (specifically the 1992 episode ""Opportunity Knock Knocks,"" where she was credited as Christina Belford), Murder, She Wrote, Diagnosis: Murder and Quincy, Holding Pattern.She appeared in the episode ""Devil Pack"" from the 1977 series Quinn Martin's Tales of the Unexpected (known in the United Kingdom as Twist in the Tale),[8] as well as in various television films through the years.",(James B. Donovan; spouse; Mary McKenna),"[20]In 1941, Donovan married Mary E. McKenna.",(Dana Rosemary Scallon; spouse; Damien Scallon),"It was followed later that year by Totally Yours, her first Christian album for Word Records; the songs ""Praise the Lord"", ""The Soft Rain"" and ""Totus Tuus"" were credited to ""Dana and Damien Scallon"".",(Patti LuPone; spouse; Matthew Johnston),[85][86]LuPone is married to Matthew Johnston.,(Marilyn Trenholme Counsell; spouse; Kenneth Walter Counsell),"Kenneth Counsell died in 1981.She has a BSc from Mount Allison University, MA in nutrition from University of Toronto and a MD from the University of Toronto.",(S. D. Shibulal; spouse; Kumari Shibulal),"[25]Shibulal met his wife Kumari, during his university days in SD College.",(Patti LuPone; hypernym; Actress),"""[23] Despite the trouble, LuPone won her first Tony Award for Best Actress in a Musical.","(Johnathon Schaech; birthDate; September 10, 1969)","Johnathon Schaech (/ʃɛk/ SHEK; born September 10, 1969) is an American actor, writer and producer.Schaech was born in Edgewood, Maryland, in 1969 to Joe, a Baltimore City law enforcement officer, and Joanne Schaech, a human resources executive.",(Elizabeth Taylor; hypernym; Actress),"These included two film adaptations of plays by Tennessee Williams: Cat on a Hot Tin Roof (1958), and Suddenly, Last Summer (1959); Taylor won a Golden Globe for Best Actress for the latter.",(Gale W. McGee; hypernym; Senator),President Kennedy provided a recorded tribute to Senator McGee for a dinner in the Senator's honor in Wyoming in July 1963.
(James B. Donovan; spouse; Mary McKenna),"Tom Hanks plays the role of Donovan, with Amy Ryan as his wife, Mary.",(Elizabeth Taylor; hypernym; Actress),"[1]:166–177 Although the film failed to become the type of success MGM had planned,[29] Taylor was nominated for the first time for an Academy Award for Best Actress for her performance.",(Marilyn Trenholme Counsell; hypernym; Senator),"Counsell was a Canadian Senator and Lieutenant Governor of New Brunswick from 1997 to 2003.She was born in Baie Verte, New Brunswick, the daughter of Harry Frederick and Mildred (née Baxter) Trenholme.",(Gale W. McGee; hypernym; Senator),"During and after the Senate hearings, Senator McGee had charged Mr. Strauss with ""a brazen attempt to hoodwink"" the committee.",(Gale W. McGee; hypernym; Senator),"Gale William McGee (March 17, 1915 – April 9, 1992) was a United States Senator of the Democratic Party, and United States Ambassador to the Organization of American States (OAS).",(Gale W. McGee; spouse; Loraine Baker McGee),"[29]McGee married Loraine Baker in 1939 and together they had four children: David, Robert, Mary Gale and Lori Ann.",(Princess Milica of Montenegro; hypernym; Princess),"They helped to introduce to the Imperial Family first a charlatan mystic named Philippe Nizier-Vashod (usually referred to merely as ""Philippe"") and then Grigori Rasputin[2] .Grand Duke Peter Nikolaevich of Russia and Princess Milica were married on 26 July 1889 in Saint Petersburg.",(Princess Milica of Montenegro; hypernym; Princess),"Princess Milica Petrović-Njegoš of Montenegro, also known as Grand Duchess Militza Nikolaevna of Russia, (14 July 1866 in Cetinje, Montenegro – 5 September 1951 in Alexandria, Egypt) was a Montenegrin princess.",(Johnathon Schaech; spouse; Jana Kramer),"[37]In December 2009, Schaech became engaged to the singer/actress Jana Kramer, whom he began dating in 2008.","(Dana Rosemary Scallon; birthDate; August 30, 1951)","Dana Rosemary Scallon (born Rosemary Brown on 30 August 1951), known in her singing career as Dana, is an Irish singer and former politician who served as Member of the European Parliament from 1999 to 2004.While still a schoolgirl she won the 1970 Eurovision Song Contest with ""All Kinds of Everything""."
