r1,s1,r2,s2,r3,s3,r4,s4,r5,s5,r6,s6,r7,s7,r8,s8,r9,s9,r10,s10
(Jeanette MacDonald; spouse; Gene Raymond),[82]MacDonald and her husband Gene Raymond toured in Ferenc Molnár's The Guardsman.,(Benjamin Netanyahu; birthPlace; Israel),"As Minister of Finance (2003–2005), Netanyahu introduced a major overhaul of the Israeli economy.",(Reza Shah; hypernym; Shah),"Reza Shah introduced many social, economic, and political reforms during his reign, ultimately laying the foundation of the modern Iranian state.His legacy remains controversial to this day.","(Prince Aimone, Duke of Aosta; hypernym; Prince)","[28][31][32][33]Prince Aimone succeeded to the title Duke of Aosta on 3 March 1942, following the death of his elder brother Prince Amedeo, 3rd Duke of Aosta, in a British Prisoner of War camp in Kenya.In the Autumn of 1942, Aimone contacted Allied forces via his courier, the consul general Alessandro Marieni, about the possibility of a peace settlement between Italy and allied forces.",(Benjamin Netanyahu; birthPlace; Israel),"[172]On 22 February 2017, Netanyahu became the first serving Prime Minister of Israel to visit Australia.",(Elizabeth Wolley; hypernym; Elizabeth),"She was the eldest daughter of Sir William More of Loseley, Surrey, and his second wife, Margaret Daniell, and the wife of the Queen's Latin secretary, Sir John Wolley, and the Queen's Lord Chancellor, Thomas Egerton, 1st Viscount Brackley.Elizabeth More was born on 28 April 1552, the eldest of the three children of Sir William More of Loseley, Surrey, and his second wife, Margaret Daniell, the daughter and heiress of Ralph Daniell of Swaffham, Norfolk, by Katherine Marrowe.","(Albert IV, Duke of Austria; hypernym; Duke)","[1] He was the Duke of Austria from 1395 until 1404, which then included roughly today's Lower Austria and most of Upper Austria, as the other Habsburg dominions were at that time ruled by his relatives of the Leopoldinian Line of the family.",(Bent Salvesen; hypernym; Captain),"A rare and totally inexcusable indifference to her, his children and his household, on the other hand, has always characterised her husband, Captain Bent Salvesen.",(Suharto; hypernym; President),President Yudhoyono that afternoon declared a week of official mourning starting from Suharto's day of death.,(Maria I of Portugal; birthPlace; Kingdom of Portugal),"Later on, Brazil would be elevated from the rank of a colony to that of a kingdom, with the consequential formation of the United Kingdom of Portugal, Brazil and the Algarves.Maria was born at the Ribeira Palace in Lisbon and baptized Maria Francisca Isabel Josefa Antónia Gertrudes Rita Joana."
(George Voinovich; birthPlace; Cleveland),"[60]Voinovich died in his sleep in Cleveland on June 12, 2016, at the age of 79.","(Silvestre Reyes; birthDate; November 10, 1944)","Silvestre ""Silver"" Reyes[2] (born November 10, 1944) is the former U.S. Representative for Texas's 16th congressional district, serving from 1997 to 2013.",(Ivan III of Russia; birthPlace; Moscow),"Sometimes referred to as the ""gatherer of the Russian lands"", he tripled the territory of his state, ended the dominance of the Mongols/Tatars over Russia by defeating the Golden Horde, renovated the Moscow Kremlin, and laid the foundations of the Russian state.","(Keir Dullea; birthDate; May 30, 1936)","Keir Dullea (/ˈkɪər dʊˈleɪ/; born May 30, 1936) is an American actor[1] best known for his portrayals of astronaut David Bowman in the 1968 film 2001: A Space Odyssey and its 1984 sequel, 2010: The Year We Make Contact.",(Ellen Johnson Sirleaf; birthPlace; Liberia),"[15] When they returned to Liberia, James continued his work in the Agriculture Department and Sirleaf pursued a career in the Treasury Department (Ministry of Finance).","(Trajan; birthDate; September 18, 53)",Trajan (/ˈtreɪdʒən/; Latin: Imperator Caesar Nerva Traianus Divi Nervae filius Augustus;[1][2] 18 September 53 – 8 August 117) was Roman emperor from 98 to 117.,(Matthea Harvey; birthPlace; Germany),"[1]Harvey was born in Germany, and grew up in England and Milwaukee, Wisconsin.",(George F. Wright; birthPlace; Honolulu),"[5] Their son, Marshall Wright lived in Honolulu with his wife, Caroline Card Wright.",(Abraham Cronbach; spouse; Rose Hentil),"He graduated in 1902 from the University of Cincinnati and, in 1906 was valedictorian of his HUC class and was ordained as a rabbi.On October 7, 1917 Cronbach married Rose Hentel, a teacher at the Free Synagogue in New York City whom he met during his time there.",(Patricia Blagojevich; birthPlace; Chicago),"[1] She placed 4th in the competition.Blagojevich was born Patricia Mell, the daughter of former Chicago alderman, Richard Mell."
"(Cyril Delevanti; birthDate; February 23, 1889)",Harry Cyril Delevanti (23 February 1889 – 13 December 1975) was an English character actor with a long career in American films.,(George Voinovich; birthPlace; Cleveland),"""[26]In order to allow them to accomplish more, Voinovich felt that the terms for mayor and members of the Cleveland City Council ought to be extended.",(Benjamin Netanyahu; hypernym; Minister),"""[138]On 2 December 2014, Netanyahu fired two of his ministers, Finance Minister Yair Lapid, who heads the centrist Yesh Atid party and Justice Minister Tzipi Livni, who heads Hatnua.",(Ivan III of Russia; hypernym; Prince),"[3] Alarmed at the growing power of Moscow, Novgorod had negotiated with the Russian state of the Grand Duchy of Lithuania and Rus in the hope of placing itself under the protection of the neighboring Catholic Polish-Lithuanian Commonwealth Casimir IV, King of Poland and Grand Prince of Lithuania, against the increasing attacks by the Muscovite dynasty, a would-be alliance that was proclaimed by the Moscow rulers as an act of apostasy from Orthodoxy (in part, because the Polish king was a Catholic).","(Benjamin Morgan Harrod; birthDate; February 19, 1837)","Benjamin Morgan Harrod (February 19, 1837 – September 8, 1912) was an American civil engineer who from 1895 to 1902 directed the construction of the water and sewerage systems in his native New Orleans, Louisiana.The son of Charles Harrod and the former Mary Morgan, Harrod was educated in New Orleans by private tutors.","(Roland Burris; birthDate; August 3, 1937)","Roland Wallace Burris (born August 3, 1937)[1] is an American politician and attorney who is a former United States Senator from the state of Illinois and a member of the Democratic Party.In 1978, Burris was the first African-American elected to statewide office in Illinois, when he was elected Illinois Comptroller.",(Mary I of England; spouse; Philip II of Spain),"England would not be obliged to provide military support to Philip's father in any war, and Philip could not act without his wife's consent or appoint foreigners to office in England.",(Anurag Kashyap; spouse; Kalki Koechlin),"[52]In 2011, Kashyap directed That Girl in Yellow Boots, a thriller starring Kalki Koechlin who also co-wrote the film with him.",(Lady Bird Johnson; spouse; Lyndon B. Johnson),[4]John F. Kennedy chose Lyndon Johnson as his running mate for the 1960 election.,(Ellen Johnson Sirleaf; birthPlace; Liberia),"After controversy about the results and being accused of treason, Sirleaf left Liberia and went into exile in Abidjan, Ivory Coast."
"(Sarah Lancashire; birthDate; October 10, 1964)","Sarah-Jane Abigail Lancashire, OBE (born 10 October 1964) is an English actress from Oldham, Lancashire.",(Rita Quigley; hypernym; Quigley),"[5]Quigley died in Arroyo Grande, California.",(Lady Bird Johnson; hypernym; Lady),"""[3] When Lady Bird was five years old, Minnie fell down a flight of stairs while pregnant and died of complications of miscarriage.","(Louise Dresser; birthPlace; Evansville, Indiana)","[2] She is perhaps best known for her roles in the many films in which she played the wife of Will Rogers, including State Fair and David Harum.Louise Josephine Kerlin was born on October 5, 1878 in Evansville, Indiana to Ida Kerlin (née Shaffer, 1852-1938)[3][4] and William S. Kerlin (1849-1893),[5][6] a railroad engineer who died when she was 15 years old.",(Princess Leopoldina of Savoy; spouse; Andrea IV Doria-Pamphilj-Landi),"Another was Princess Gabrielle who married into the House of Lobkowicz.She was married to Andrea IV Doria-Pamphilj-Landi, a member of the wealthy Doria-Pamphilj-Landi who were of Genoan origin.",(Benjamin Netanyahu; hypernym; Minister),"Sharon and Netanyahu came to an agreement that Netanyahu would have complete freedom as Finance Minister and have Sharon back all of his reforms, in exchange for Netanyahu's silence over Sharon's management of Israel's military and foreign affairs.",(Elizabeth Keifer; spouse; Robert Convertino),"In addition to her portrayal of Blake, Keifer has also appeared on other soaps, including, The Young and the Restless, One Life to Live, Days of Our Lives, and General Hospital.Married to Robert Convertino since 1996, Keifer is the mother of two children: a daughter, Isabella and a son, Keifer.",(Anthony Enahoro; hypernym; Nigeria),"[1]During the Nigerian crisis that followed the 1966 coups, Enahoro was the leader of the then Mid-West delegation to the Ad Hoc Constitutional Conference in Lagos.",(Elizabeth Colbert Busch; hypernym; Director),[14][17] Colbert Busch also works as the Director of Sales and Marketing Clemson's Wind Turbine Drivetrain Testing Facility.,"(Frank N. Ikard; birthDate; January 30, 1913)","William F. IkardUniversity of TexasFrank Neville Ikard (January 30, 1913 – May 1, 1991) was a Democratic United States Representative from Texas' 13th congressional district, centered about Wichita Falls, Texas.Ikard was born in Henrietta in Clay County, Texas, and attended the public schools and the Schriener Institute, in Kerrville, Texas."
"(Zaifeng, Prince Chun; hypernym; Prince)",Prince Chun sold the Northern Residence to the government out of financial difficulties.,"(Martha Edelheit; birthDate; September 3, 1931)","[2][3]Martha Ross was born September 3, 1931 in New York City.","(Ernst Casimir II, 2nd Prince of Ysenburg and Büdingen; birthPlace; Büdingen)","On 1 November 1848, succeeded to the title of Prince of Ysenburg and Büdingen upon the abdication of his father.Ernst Casimir married Countess Thekla of Erbach-Fürstenau, fourth eldest daughter of Albrecht, Count of Erbach-Fürstenau and his wife Princess Emilie of Hohenlohe-Neuenstein-Ingelfingen, on 8 September 1836 in Beerfelden.",(V. T. Sambanthan; birthPlace; Sungai Siput),"Sambanthan had befriended her when he was involved with the Indian National Congress while studying at Annamalai University.On his invitation, she visited Malaya in 1954 and despite the ongoing communist insurgency, visited Sungai Siput where she officially opened the Mahatma Gandhi Tamil School.",(Tovino Thomas; spouse; Lidiya),"[16]Tovino married his longtime girlfriend, Lidiya at St. Thomas Cathedral, Irinjalakuda, on 25 October 2014.","(Florence Harding; birthPlace; Marion, Ohio)","They had no children of their own, but Florence's son Marshall lived with them intermittently, and received encouragement from Warren to work in journalism.During her husband's illness, Florence became business manager of the Marion Star,', immediately demonstrating both the talent and the character to run a newspaper.",(Matthew C. Perry; spouse; Alexander Slidell Mackenzie),"With the advent of the steam engine, he became a leading advocate of modernizing the U.S. Navy and came to be considered ""The Father of the Steam Navy"" in the United States.Matthew Perry was the son of Sarah Wallace (née Alexander) (1768–1830) and Navy Captain Christopher Raymond Perry (1761–1818).","(Patti Hansen; birthPlace; Staten Island, New York)","Patricia ""Patti"" Hansen (born March 17, 1956) is an American model and actress.Hansen, who is of Norwegian ancestry, was born and raised in Tottenville, Staten Island, the youngest of six children.",(Annie Glenn; spouse; John Glenn),"[11] In 2015, The Ohio State University renamed 17th Avenue (on its campus) to Annie and John Glenn Avenue.Glenn is an adjunct professor with Ohio State’s Speech Pathology Department.",(Ufuoma Ejenobor; spouse; Steven McDermott),"[11] Ufuoma and Steven McDermott have two children: son Isio Jared (born 10 October 2012) and daughter Kesiena Alize (born 8 August 2015).She went through Alama Private School Jos, Plateau state, Tunwase Nursery and primary school Ikeja, Lagos and finally Molly International Nursery and primary Ajao Estate for her nursery and primary education."
(Dennis Boutsikaris; hypernym; Actor),He received the Best Actor Award at the Staten Island Film Festival and the Long island Film Festival for his role in Calling It Quits.Boutsikaris was married to actress Deborah Hedwall.,(Wayne Howard; spouse; Carol  Howard),"[1] He lived in Oxford, Connecticut, at the time, married to Carol (Zavednak) Howard.",(Angie Dickinson; spouse; Burt Bacharach),"Dickinson nonetheless became one of the more prominent leading ladies of the next decade, beginning with The Bramble Bush with Richard Burton.",(Marilyn Monroe; hypernym; Actress),"[203] Monroe's performance earned her a Golden Globe for Best Actress, and prompted Variety to call her ""a comedienne with that combination of sex appeal and timing that just can't be beat"".",(Benjamin Netanyahu; birthPlace; Israel),"Although Netanyahu was reported to have previously promised U.S. Representative Ileana Ros-Lehtinen that Israel would fully cooperate in the terror-financing case against Bank of China in U.S. District Court, the prime minister reportedly made a conflicting promise to the Government of China prior to a state visit to China in May 2013.",(Princess Amalie of Saxe-Coburg and Gotha; hypernym; Princess),"However, Duke Maximilian Emanuel in Bavaria, youngest child of Duke Maximilian Joseph in Bavaria and his wife Princess Ludovika of Bavaria, fell in love with her and confided this love in his sister Elisabeth of Bavaria, now Empress of Austria.The Empress became determined to ensure her favorite brother's happiness.",(Benjamin Netanyahu; birthPlace; Israel),"[74] Netanyahu stated that he would accept a Palestinian state if Jerusalem were to remain the united capital of Israel, the Palestinians would have no army, and the Palestinians would give up their demand for a right of return.","(Ercole II d'Este, Duke of Ferrara; hypernym; Duke)","Their first child, Anna, born in 1531, who was married to Francis, Duke of Guise, was followed by Alfonso in 1533; Lucrezia in 1535, who was married to the Duke of Urbino Francesco Maria II della Rovere; and later Eleonora and Luigi, whose education she carefully directed.Once he became a Duke in October 1534, Ercole turned against the French at his court, finding them both too expensive and too influential, and by 1543 they had all been dismissed.",(Ellen Johnson Sirleaf; birthPlace; Liberia),Sirleaf initially accepted a post in the new government as President of the Liberian Bank for Development and Investment.,(Neysa McMein; hypernym; Illustrator),"[34]The United States Post Office released a 20-stamp collection in February 2001 that are based upon works created by 20 Society of Illustrators' artists, including McMein, Rockwell Kent, Al Parker, Howard Pyle, Jessie Smith, and Joseph Leyendecker."
(Barbara Franklin; hypernym; President),"[3][4]In 1971, while at the First National City Bank, Franklin was recruited by President Richard Nixon to bring more qualified women into high-level, policy-making government positions.",(Neysa McMein; spouse; John C. Baragwanath),"[4] The same year, Neysa McMein married John C. Baragwanath, a mining engineer and author,[4] whom she met at a party given by Irene Castle.",(George Voinovich; birthPlace; Cleveland),"A member of the Republican Party, Voinovich served as a United States Senator from 1999 to 2011, as the 65th governor of Ohio from 1991 to 1998, and as the 54th mayor of Cleveland from 1980 to 1989, the last Republican to serve in that office.Voinovich spent more than 46 years in public service – first as assistant attorney general of Ohio in 1963, and finally as the senior United States Senator representing Ohio.",(Mary Ramsey Wood; hypernym; Pioneer),"Wood rode her horse Martha Washington Pioneer the entire journey along the Oregon Trail at the age of 66, and as a midwife she delivered at least one baby during the trip.","(Julianne Moore; birthDate; December 3, 1960)","She is married to director Bart Freundlich, with whom she has two children.Moore was born Julie Anne Smith on December 3, 1960,[1] at the Fort Bragg army installation in North Carolina, the oldest of 3 siblings.",(Rudolf Schuster; birthPlace; Košice),[2]Schuster was born in Košice.,"(Vanessa Bell Calloway; birthDate; March 20, 1957)","Vanessa Bell Calloway (born March 20, 1957) is an American actress and dancer.",(V. T. Sambanthan; birthPlace; Sungai Siput),"The British colonial administration had agreed to hold the first federal elections in July 1955 and Sambanthan was instantly thrown into the cauldron of electoral politics.He met the new challenge and following negotiations with the Alliance leaders the MIC was allocated two seats – in Batu Pahat, Johor, and Sungai Siput, Perak.",(Gary Gygax; spouse; Mary Jo Powell),")The young couple moved to Chicago where Gygax continued as a shipping clerk at Kemper Insurance, and also found Mary Jo a job there too.","(Natalie Portman; birthDate; June 9, 1981)","Natalie Portman (born Neta-Lee Hershlag;[a] June 9, 1981) is a film actress, producer, writer, and director with dual Israeli and American citizenship."
(Gary Gygax; hypernym; Designer),"Gygax, with the approval of NEC and JVC, quickly changed the name to Dangerous Journeys,[52] and work on the new game continued.The marketing strategy for Dangerous Journeys: Mythus was multi-pronged: in addition to the RPG and setting to be published by Games Designers Workshop, and the Mythus computer game being prepared by NEC and JVC, there would also be a series of books based on the Mythus setting written by Gygax.","(Anne Pride; birthPlace; Pittsburgh, Pennsylvania)","Anne Pride (July 29, 1942 in Pittsburgh, Pennsylvania – April 24, 1990) was a National Organization for Women (NOW) activist and publisher.Pride was appointed president of the feminist publishing company KNOW, Inc. in 1969.",(George Voinovich; birthPlace; Cleveland),"Beginning in 1985 Voinovich, the City of Cleveland and the State of Ohio began lobbying for the Rock and Roll Hall of Fame and Museum to be built in Cleveland.",(Ellen Johnson Sirleaf; birthPlace; Liberia),The restored material clarifies the stance that President Ellen Johnson Sirleaf is taking on laws concerning homosexuality in Liberia.,(Adrienne Frantz; hypernym; Actress),"In 2001, her portrayal garnered Frantz a Daytime Emmy in the Outstanding Younger Actress category.",(Florence Harding; spouse; Warren G. Harding),"Florence proved highly popular at their many scheduled stops, but Warren was visibly ailing.",(Lady Bird Johnson; hypernym; Lady),"[67]On March 12, 1980, Lady Bird returned to the White House and attended a reception commemorating the fifteenth anniversary of the Head Start program.","(Henry Louis, Prince of Nassau-Saarbrücken; spouse; Marie Francisca Maximilia of Montbarrey)","His half brother Adolf came of age in 1805 and resumed the title Prince of Nassau-Saarbrücken.He married on 6 October 1785 to Princess Marie Françoise Maximilienne of Saint Mauris-Montbarrey (2 November 1761 – 2 February 1838), the daughter of Alexandre Marie Léonor de Saint-Mauris de Montbarrey.",(Bob Hoskins; spouse; his death),"[34]With his first wife Jane Livesey, Hoskins had two children named Alex (born 1968) and Sarah (born 1972).",(Justine Bartolini-Baldelli; spouse; Jérôme Bonaparte),"Justine Bartolini-Baldelli, née Pecori-Suárez (Italian: Giustina; November 27, 1811 in Florence, Italy - January 30, 1903 in Florence) was a French Princess, being the spouse of Prince Jérôme Bonaparte, heir presumptive of France during the second Empire.Giustina Pecori-Suárez was the daughter of Bernard Pecori (or Percoli)."
"(Zaifeng, Prince Chun; hypernym; Prince)","Cixi died the following day, ending her 47-year-long control over China, while Prince Chun ruled as regent for the next three years.",(John III of Pernstein; hypernym; Treasurer),"In 1506, John was appointed High Treasurer of Moravia.",(Richard Enraght; hypernym; Church),"Enraght clearly directed his text at the Church Association to counter their campaign against Anglo-Catholic priests:""I have now, then, I think, sufficiently demonstrated what I undertook to prove.",(Leo Penn; hypernym; Actor),"[4]A life member of The Actors Studio,[5] Penn won the Theatre World Award in 1954 for his performance in the play The Girl on the Via Flaminia.",(Carl XVI Gustaf of Sweden; hypernym; King),"Adhering to that tradition, the current King of Sweden proclaimed himself Carl XVI Gustaf even though he is only the tenth Swedish monarch by the first name.",(Benjamin Netanyahu; hypernym; Minister),"[49] After being defeated by Ehud Barak in the 1999 election for Prime Minister, Netanyahu temporarily retired from politics.",(Edgar Magnin; birthPlace; San Francisco),"[2]Edgar Fogel Magnin was born on July 1, 1890 in San Francisco, California.",(Urmila Matondkar; birthPlace; Maharashtra),"She has featured as a talent judge for Sony TV's Jhalak Dikhhla Jaa Season 2, Colors' Chak Dhoom Dhoom and Zee Marathi's Dance Maharashtra Dance.Matondkar made her film debut as a child artiste in Shreeram Lagoo's Marathi film Zaakol (1980).",(Margrethe II of Denmark; hypernym; Queen),"[16]A statement in a 2005 authorized biography about the Queen (entitled Margrethe) focused on her views of Islam: ""We are being challenged by Islam these years.",(Jennifer Lanthier; spouse; Stephen Rogers m. 1987),"[24]Lanthier married investment fund manager Stephen Rogers June 30, 1987."
"(Kat Stewart; birthDate; November 30, 1972)","Katherine Louise Stewart (born 30 November 1972)[1], known professionally as Kat Stewart, is an AACTA and Logie Award-winning Australian actress who has made numerous appearances in television series, movies and on-stage.Stewart was born and raised in Bairnsdale, Victoria.","(Henry VI, Burgrave of Plauen; birthDate; December 29, 1536)","Henry VI of Plauen (29 December 1536, Meissen – 22 January 1572 in Schleiz) was Burgrave of Meissen, Lord of Plauen and Lord of Schleiz and Lobenstein.Henry VI was the younger of two sons of Henry IV, Burgrave of Plauen, from his marriage to Countess Margaret of Salm (1517–1573).",(Cate Blanchett; hypernym; Actress),"[5] Blanchett received the Helen Hayes Award for Outstanding Lead Actress in a Non-Resident Production, and the Helpmann Award for Best Actress.","(William G. Enloe; birthPlace; Rock Hill, South Carolina)","William G. Enloe High School in Raleigh was named in his honor.William Gilmore Enloe was born on June 15, 1902 in Rock Hill, South Carolina, United States.",(Margaret of York; spouse; Charles the Bold),"Although the King of England, Henry VI, was the head of the House of Lancaster, his wife, Margaret of Anjou, was a niece of Burgundy's bitter enemy, Charles VII of France, and was herself an enemy of the Burgundians.",(Elizabeth Woolcock; spouse; Thomas Woolcock),She taught Sunday school at the Wesleyan Church.Thomas Woolcock emigrated from Cornwall and settled in Moonta with his wife and two children in 1865.,(Countess Palatine Maria Anna of Zweibrücken-Birkenfeld; hypernym; Palatine),"Countess Palatine Maria Anna of Zweibrücken-Birkenfeld-Bischweiler (18 July 1753 – 4 February 1824) was Countess Palatine of Birkenfeld-Gelnhausen and Duchess in Bavaria, through her marriage to Duke Wilhelm in Bavaria.","(Jeanette MacDonald; birthPlace; Philadelphia, Pennsylvania)","Her findings also alleged that Eddy had had a son with Philadelphian contralto Maybelle Marston,[167] and that MacDonald and Raymond's marriage was full of physical and emotional abuse, and adultery, with Raymond being caught and arrested for having sexual activities with men around Hollywood, forcing MacDonald to be his beard[168] (another biographer alleged that Eddy confronted Raymond, which led to him severely attacking Raymond and leaving him for dead, which was disguised in the newspapers as Raymond recovering from falling down the stairs[169]).","(Demi Moore; birthDate; November 11, 1962)","Her later film roles include Charlie's Angels: Full Throttle (2003), Bobby (2006), Mr. Brooks (2007), and Margin Call (2011).Besides acting, her personal life has been the subject of significant media coverage, particularly her marriages to actors Bruce Willis and Ashton Kutcher.She was born Demi Gene Harmon on November 11, 1962, in Roswell, New Mexico.","(Dylan Thomas; birthDate; October 27, 1914)","Dylan Marlais Thomas (27 October 1914 – 9 November 1953) was a Welsh poet and writer whose works include the poems ""Do not go gentle into that good night"" and ""And death shall have no dominion""; the 'play for voices' Under Milk Wood; and stories and radio broadcasts such as A Child's Christmas in Wales and Portrait of the Artist as a Young Dog."
